Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-4255609,2022-01-31,2022-02-26,Aeroprice,One Way,AV,Colombia,Colombia,BOG,CLO,1,25.4092449,5.2680472,1.0395052953999944
BUSA-4258304,2022-01-31,2022-01-31,Jetradar,One Way,LH,Germany,Austria,MUC,IOB,1,34.983858,0.0,-7.654540727400001
BUSA-4259716,2022-01-31,2022-02-02,Other,One Way,UA,United States,Mexico,EWR,MEX,2,254.75424800000002,130.69610540000002,-20.31536086
BUSA-4259898,2022-01-31,2022-05-23,Google Flights,Return,AV,United States,Colombia,LAX,BOG,1,150.699696,111.74203053999999,28.075298249799978
BUSA-4258766,2022-01-31,2022-02-03,Google Flights,Return,CM,United States,Panama,MIA,PTY,1,44.8511,108.60245354,-4.500863000000018
BUSA-4255050,2022-01-31,2022-05-16,Direct,One Way,LA,Peru,Peru,CUZ,IQT,2,243.989984,51.578765,112.87252721560002
BUSA-4257426,2022-01-31,2022-02-02,Aeroprice,Return,OZ,United States,South Korea,SEA,ICN,1,507.71445200000005,405.15792674,43.39365349279999
BUSA-4259628,2022-01-31,2022-02-15,Google Flights,One Way,SV,United States,United Arab Emirates,JFK,DXB,1,215.28528,163.13242092000002,30.564983062000042
BUSA-4255637,2022-01-31,2022-02-04,Direct,One Way,TK,United States,Montenegro,IAD,TGD,1,315.751744,203.9828028,9.907194066199997
BUSA-4259130,2022-01-31,2022-02-18,Google Flights,Return,QR,United States,Sri Lanka,IAH,CMB,2,1230.714184,988.10561388,26.089755242599992
BUSA-4258886,2022-01-31,2022-09-25,Google Flights,Return,QR,United States,Maldives,ORD,MLE,4,4689.631015999999,4200.82578776,37.085859881200335
BUSA-4259344,2022-01-31,2022-02-20,Aeroprice,Return,TK,United States,Egypt,JFK,CAI,1,1572.479566,626.27384974,-187.92962753680018
BUSA-4258080,2022-01-31,2022-02-24,Aeroprice,One Way,AV,Colombia,Colombia,CUC,BOG,1,39.4876469,6.1082099,2.454496652800006
BUSA-4258880,2022-01-31,2022-02-07,Direct,One Way,UA,Mexico,United States,MEX,EWR,1,58.30643,93.80159053999999,5.683387140000001
BUSA-4259142,2022-01-31,2022-02-01,Aeroprice,Return,AV,Colombia,Colombia,CLO,BOG,1,50.8184898,10.53382369,3.366265692600004
BUSA-4258916,2022-01-31,2022-04-09,Aeroprice,Return,AY,United States,Spain,PHL,MAD,2,403.6599,952.00738428,284.3561644228001
BUSA-4254831,2022-01-31,2022-02-09,Aeroprice,Return,HR,Panama,Panama,PAC,BOC,1,172.228224,105.5794894,-0.9411208952000027
BUSA-4256541,2022-01-31,2022-05-25,Aeroprice,Return,LO,Ukraine,United States,LWO,LAX,2,556.15364,785.55804628,-1.4514215211999648
BUSA-4256632,2022-01-31,2022-05-25,Aeroprice,Return,LO,Poland,United States,WRO,LAX,3,708.64738,1154.38658202,3.494468905999799
BUSA-4255353,2022-01-31,2022-02-01,Google Flights,Return,QR,United States,Pakistan,JFK,SKT,1,197.34484000000003,497.10268174,5.2005545962000195
BUSA-4259809,2022-01-31,2022-06-11,Aeroprice,Return,AC,United States,France,DFW,NCE,1,636.88562,409.19452574,31.401867080599935
BUSA-4257308,2022-01-31,2022-02-10,Aeroprice,One Way,AI,United States,India,SFO,DEL,1,585.7033185,253.33180230000002,84.51316271199983
BUSA-4258901,2022-01-31,2022-02-23,Aeroprice,Return,F9,United States,Puerto Rico,PHL,SJU,1,73.5109529,0.0,-14.275764337000009
BUSA-4259125,2022-01-31,2022-03-28,Google Flights,Return,G4,United States,United States,IND,MSY,1,75.26523900000001,0.0,-46.10979685920004
BUSA-4254919,2022-01-31,2022-02-04,Google Flights,Return,CM,United States,Panama,MIA,PTY,2,89.7022,217.20490708,-11.885113140000035
BUSA-4254623,2022-01-31,2022-05-25,Aeroprice,One Way,EI,United States,United Kingdom,PHL,LHR,1,130.965212,148.54684319999998,-14.431828525999965
BUSA-4259139,2022-01-31,2022-02-25,Kayak Group,One Way,TK,United States,Kenya,DFW,NBO,1,385.71945999999997,256.0100788,-6.377702130599978
BUSA-4255502,2022-01-31,2022-02-17,Google Flights,Return,QR,United States,Pakistan,IAH,KHI,4,916.756484,1959.70602296,-12.620102587200083
BUSA-4258251,2022-01-31,2022-03-22,Direct,Return,QR,United States,United Arab Emirates,PHL,DXB,1,112.12774999999999,460.05567314,-0.2537874236001363
BUSA-4254968,2022-01-31,2022-02-04,Aeroprice,One Way,UK,India,India,DEL,RPR,1,52.325943,8.9325294,-0.09276766980001039
BUSA-4254970,2022-01-31,2022-04-11,Aeroprice,Return,F9,United States,United States,CLT,MCO,3,130.41613819999998,0.0,-228.21867737239995
BUSA-4259615,2022-01-31,2022-02-04,Aeroprice,Return,NK,United States,United States,DFW,PHX,1,113.53607454,0.0,-0.6425548743999974
BUSA-4255370,2022-01-31,2022-02-25,Direct,Return,NK,Puerto Rico,United States,SJU,BWI,1,112.64802276,0.0,-1.2263367919999935
BUSA-4255724,2022-01-31,2022-02-15,Jetcost,One Way,AA,United States,United States,ECP,MIA,2,98.45713472,47.039833679999994,-5.351850320799992
BUSA-4259781,2022-01-31,2022-02-18,Jetradar,Return,AA,United States,United States,CMH,LGA,2,213.61681907999997,68.40689772,-5.1397943200000284
BUSA-4255162,2022-01-31,2022-04-13,Google Flights,One Way,CM,United States,Costa Rica,LAS,SJO,2,116.61286000000001,85.95264803999999,-11.562185219999995
BUSA-4255691,2022-01-31,2022-02-19,Jetradar,Return,LA,Peru,Peru,LIM,CUZ,5,273.59171,120.1112458,16.466717594999963
BUSA-4258156,2022-01-31,2022-02-10,Google Flights,Return,PR,United States,Philippines,JFK,MNL,1,1522.246334,290.87732394,-101.362285033
BUSA-4257822,2022-01-31,2022-05-15,Kayak Group,Return,BA,United States,France,PHL,CDG,2,752.879596,993.4943190799999,485.8909084694004
BUSA-4257821,2022-01-31,2022-02-01,Google Flights,One Way,TK,United States,Republic of Macedonia,CLE,SKP,1,569.60897,196.3581158,8.388284195600104
BUSA-4259013,2022-01-31,2022-02-26,Jetradar,Return,AA,United States,United States,MKE,RDU,1,156.87120736,54.10836704,-4.756048308399998
BUSA-4260001,2022-01-31,2022-02-03,Aeroprice,Return,TK,United States,Egypt,JFK,CAI,1,113.024772,446.86944974,-47.2467071042001
BUSA-4256486,2022-01-31,2022-02-04,Google Flights,One Way,CM,United States,Panama,MIA,PTY,1,22.42555,27.8525331,-8.43791004
BUSA-4255605,2022-01-31,2022-02-11,Google Flights,One Way,F9,United States,United States,DEN,CVG,1,36.759961559999994,0.0,-0.6138862019999958
BUSA-4255205,2022-01-31,2022-05-21,Aeroprice,One Way,LA,Peru,Peru,IQT,LIM,2,91.496244,27.64621804,93.15442375420001
BUSA-4255693,2022-01-31,2022-03-03,Jetradar,Return,AS,United States,United States,SEA,PUW,1,124.16578523999999,35.504130759999995,-7.151706320000006
BUSA-4259235,2022-01-31,2022-03-11,Google Flights,One Way,CM,United States,Colombia,IAD,BOG,1,44.8511,41.3078631,-4.500862999999989
